"Week","Team","Points","Home","Cumulative"
25,"Burnley",0,"Away",21
25,"Southampton",1,"Home",46
25,"West Ham",1,"Away",38
25,"Stoke",0,"Home",33
25,"Manchester City",3,"Away",52
25,"Crystal Palace",1,"Home",27
25,"Newcastle",1,"Away",32
25,"West Bromwich",3,"Home",26
25,"Swansea",0,"Away",34
26,"Aston Villa",0,"Home",22
26,"Stoke",3,"Away",36
26,"Chelsea",1,"Home",60
26,"Burnley",1,"Away",22
26,"Crystal Palace",0,"Home",27
26,"Arsenal",3,"Away",48
26,"Hull",3,"Home",26
26,"QPR",0,"Away",22
26,"Sunderland",1,"Home",25
26,"West Bromwich",1,"Away",27
26,"Swansea",3,"Home",37
26,"Manchester United",0,"Away",47
26,"Manchester City",3,"Home",55
26,"Newcastle",0,"Away",32
26,"Tottenham",1,"Home",44
26,"West Ham",1,"Away",39
26,"Everton",1,"Home",28
26,"Leicester",1,"Away",18
26,"Southampton",0,"Home",46
26,"Liverpool",3,"Away",45
27,"West Ham",0,"Home",39
27,"Crystal Palace",3,"Away",30
27,"Burnley",0,"Home",22
27,"Swansea",3,"Away",40
27,"Manchester United",3,"Home",50
27,"Sunderland",0,"Away",25
27,"Newcastle",3,"Home",35
27,"Aston Villa",0,"Away",22
27,"Stoke",3,"Home",39
27,"Hull",0,"Away",26
27,"West Bromwich",3,"Home",30
27,"Southampton",0,"Away",46
27,"Liverpool",3,"Home",48
27,"Manchester City",0,"Away",55
27,"Arsenal",3,"Home",51
27,"Everton",0,"Away",28
27,"QPR",0,"Home",22
27,"Tottenham",3,"Away",47
27,"Leicester",0,"Home",18
27,"Chelsea",3,"Away",63
28,"Aston Villa",3,"Home",25
28,"West Bromwich",0,"Away",30
28,"Hull",1,"Home",27
28,"Sunderland",1,"Away",26
28,"Southampton",3,"Home",49
28,"Crystal Palace",0,"Away",30
28,"Manchester City",3,"Home",58
28,"Leicester",0,"Away",18
28,"Newcastle",0,"Home",35
28,"Manchester United",3,"Away",53
28,"QPR",0,"Home",22
28,"Arsenal",3,"Away",54
28,"Stoke",3,"Home",42
28,"Everton",0,"Away",28
28,"Tottenham",3,"Home",50
28,"Swansea",0,"Away",40
28,"West Ham",0,"Home",39
28,"Chelsea",3,"Away",66
28,"Liverpool",3,"Home",51
28,"Burnley",0,"Away",22
29,"Crystal Palace",3,"Home",33
29,"QPR",0,"Away",22
29,"Arsenal",3,"Home",57
29,"West Ham",0,"Away",39
29,"Leicester",1,"Home",19
29,"Hull",1,"Away",28
29,"Sunderland",0,"Home",26
29,"Aston Villa",3,"Away",28
29,"West Bromwich",3,"Home",33
29,"Stoke",0,"Away",42
29,"Burnley",3,"Home",25
